# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
𢜽	cỏi	勁𢜽 cứng cỏi [𠸨] · 歉𢜽 kém cỏi [𠸨]	U+2273D
𧄑	cói	𣘃𧄑 cây cói · 𥴜𧄑 chiếu cói	U+27111
𠎺	côi	單𠎺 đơn côi · 𠎺𠬒 côi cút · 蒲 𠎺 mồ côi	[翻] U+203BA
臼	cối	臼迆 cối giã	U+81FC
𦓊（𦓊󠄁）	cỗi	𣝀𦓊 cằn cỗi	U+264CA (U+264CA U+E0101)
𣛣	cơi	𣛣摕 cơi nới · 𣛣茹 cơi nhà · 𣛣撜𦺓 cơi đựng trầu	U+236E3
膁	còm	膁𡎝 còm cõi [𠸨]	U+8181
𥺻	cốm	餅𥺻 bánh cốm	[翻] U+25EBB
𣋜	cợm	劇𣋜 kịch cợm	U+232DC
䐊	cồn	𥻂憑䐊 dán bằng cồn [摱]	U+440A
醌	cồn	𨢇醌 rượu cồn [摱] · 性醌 tính cồn [摱] · 空固醌 không có cồn [摱]	U+918C
𡑱	cồn	𡑱𡋥 cồn cát · 𡑱𦛌 cồn ruột · 𡑱搞 cồn cào	U+21471
𠲟	cớn	𢏣𠲟 cong cớn	U+20C9F
𢏣	cong	𢏣𨙍 cong queo · 塘𢏣 đường cong · 𢏣𠲟 cong cớn	U+223E3
𠗸	cóng	冷𠗸 lạnh cóng · 洌𠗸 rét cóng · 𠗸𢬣 cóng tay · 𠗸渃 cóng nước	U+205F8
𧋄	còng	𡥵𧋄𧋄 con còng còng	U+272C4
𮜲	cõng	𮜲僥 cõng nhau · 𮜲𧋻哏𪃿茹 cõng rắn cắn gà nhà	U+2E732
