# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

硏	⿰石幵	U+784F-E0103	MD-784F		註冊IVS所需的基本字
礏	⿰石業	U+790F	MD-790F		簡體：u2c486
礰	⿰石歷	U+7930	MD-7930		簡體：u309a6
稥	⿱𤇕日	U+7A25	MD-7A25		
穂	⿰禾恵	U+7A42	MD-7A42		
穏	⿰禾𢚩	U+7A4F	MD-7A4F		
竸	⿰竟竟	U+7AF8	MD-7AF8		
笖	⿱竹以	U+7B16	MD-7B16		
箶	⿱竹胡	U+7BB6	MD-7BB6		
簘	⿱竹粛	U+7C18	MD-7C18		
絶	⿰糹色	U+7D76	MD-7D76		
継	⿰糹⿺𠃊米	U+7D99	MD-7D99		
緖	⿰糹者	U+7DD6	MD-7DD6		
繎	⿰糹然	U+7E4E	MD-7E4E		簡體：u2c647
缐	⿰纟泉	U+7F10	MD-7F10		
羙	⿱𦍌火	U+7F99	MD-7F99		
翆	⿱羽卆	U+7FC6	MD-7FC6		
翖	⿰合羽	U+7FD6	MD-7FD6		
翙	⿰岁羽	U+7FD9	MD-7FD9		
聨	⿰耳𢇂	U+8068	MD-8068		
艈	⿰舟㐬	U+8248	MD-8248		
荘	⿱艹壮	U+8358	MD-8358		
莟	⿱艹含	U+839F	MD-839F		
葻	⿱艹風	U+847B	MD-847B		簡體：u2c725
蒳	⿱艹納	U+84B3	MD-84B3		簡體：u30c4c
蕐	⿳艹一⿻⿻二丨𠈌	U+8550	MD-8550		
薫	⿱艹𤋱	U+85AB	MD-85AB		
藛	⿱艹寫	U+85DB	MD-85DB		
覌	⿰又見	U+898C	MD-898C		
覚	⿱𰃮見	U+899A	MD-899A		
訨	⿰言止	U+8A28	MD-8A28		簡體：𫟞
詝	⿰言宁	U+8A5D	MD-8A5D		簡體：u2c8de
譛	⿰言替	U+8B5B	MD-8B5B		
貮	⿹⿶弋一貝	U+8CAE	MD-8CAE		
逹	⿺辶幸	U+9039	MD-9039		
逺	⿺辶𡊮	U+903A	MD-903A		
邉	⿺辶⿳自穴口	U+9089	MD-9089		
郞	⿰良阝	U+90DE	MD-90DE		
郷	⿲乡艮阝	U+90F7	MD-90F7		
鄥	⿰鳥阝	U+9125	MD-9125		
銭	⿰金㦮	U+92AD	MD-92AD		
錅	⿱𥝢金	U+9305	MD-9305		
録	⿰金录	U+9332	MD-9332		
鐡	⿰金⿹𢦏⿱口䒑	U+9421	MD-9421		
闗	⿵門𢇁	U+95D7	MD-95D7		
隠	⿰阝𢚩	U+96A0	MD-96A0		
雫	⿱雨下	U+96EB	MD-96EB		
静	⿰青争	U+9759-E0105	MD-9759		註冊IVS所需的基本字
頋	⿰厄頁	U+980B	MD-980B		
顔	⿰彦頁	U+9854	MD-9854		
馀	⿰饣余	U+9980	MD-9980		
髙	⿳亠⿲丨二丨冋	U+9AD9	MD-9AD9		
髥	⿱髟冄	U+9AE5-E0101	MD-9AE5		註冊IVS所需的基本字
鬰	⿳棥冖⿰鬯彡	U+9B30	MD-9B30		
鳯	⿵几鳥	U+9CEF	MD-9CEF		
黙	⿱⿰&CDP-88D4;犬灬	U+9ED9-E0101	MD-9ED9		註冊IVS所需的基本字
𠕆	⿵冇一	U+20546	MD-20546	MAC-00124	身份證明局(撤回)
𠱑	⿳口大口	U+20C51	MD-20C51		
𠲘	⿱羊口	U+20C98-E0100	MD-20C98		註冊IVS所需的基本字
𠿮	⿰口飲	U+20FEE	MD-20FEE	MAC-00030	人名，身份證明局
𡄤	⿰口還	U+21124	MD-21124	MAC-00090	財政局(撤回)；簡體：𭈮
𡊐	⿰土&CDP-8DDF;	U+21290	MD-21290	MAC-00077	中文電碼9742
𡍼	⿱凃土	U+2137C	MD-2137C		
𡛩	⿰女立	U+216E9	MD-216E9	MAC-00075	人名，身份證明局
𡣝	⿰女翠	U+218DD	MD-218DD		
𡨤	⿱宀叕	U+21A24	MD-21A24		
𡩴	⿱宀䍃	U+21A74-E0100	MD-21A74		註冊IVS所需的基本字
𢊈	⿸广⿳穴人夕	U+22288	MD-22288	MAC-00117	中文電碼8353
𢸋	⿰扌趟	U+22E0B	MD-22E0B		
𣏖	⿰木引	U+233D6	MD-233D6		
𣒍	⿰木何	U+2348D	MD-2348D		
𤌧	⿰火桑	U+24327	MD-24327		
𤤂	⿰王予	U+24902	MD-24902		
𤫎	⿰王營	U+24ACE	MD-24ACE		
𥐣	⿰石川	U+25423	MD-25423		
𥓂	⿰石含	U+254C2	MD-254C2		
𥢗	⿰禾喜	U+25897	MD-25897		
𦏹	⿰羽干	U+263F9-E0100	MD-263F9		註冊IVS所需的基本字
𦐹	⿰羽辛	U+26439-E0100	MD-26439		註冊IVS所需的基本字
𦭳	⿱艹羽	U+26B73	MD-26B73		
𨩌	⿰金奕	U+28A4C	MD-28A4C	MAC-00024	人名，身份證明局
𨯌	⿰金蓮	U+28BCC	MD-28BCC		
𪁏	⿰岑鳥	U+2A04F	MD-2A04F		簡體：u2eb66
𪣏	⿰土州	U+2A8CF	MD-2A8CF	MAC-00122	人名，法務局
𪦪	⿰女粵	U+2A9AA	MD-2A9AA	MAC-00084	人名，教青局
𪸛	⿰火玉	U+2AE1B	MD-2AE1B	MAC-00131	人名，身份證明局
𫈣	⿱艹𨊠	U+2B223	MD-2B223	MAC-00134	法務局(撤回)
𫰾	⿰女金	U+2BC3E	MD-2BC3E	MAC-00073	法務局(撤回)
𫲦	⿰子兌	U+2BCA6	MD-2BCA6		
𬌗	⿰牙合	U+2C317	MD-2C317		
剆	⿰良刂	U+2F821 (U+5246-FE00)	MD-2F821	MAC-00132	人名，身份證明局
杞	⿰木已	U+2F8DB (U+675E-FE00)	MD-2F8DB	MAC-00120	中文電碼2630
芑	⿱艹已	U+2F98F (U+8291-FE00)	MD-2F98F	MAC-00125	人名，身份證明局
蕤	⿺⿱艹豕生	U+2F9AC (U+8564-FE00)	MD-2F9AC	MAC-00093	財政局(撤回)
兑	⿱丷兄	U+5151	MDH-5151		
吿	⿱牛口	U+543F	MDH-543F		
媪	⿰女昷	U+5AAA	MDH-5AAA		
岃	⿱山刃	U+5C83	MDH-5C83		
悦	⿰忄兑	U+60A6	MDH-60A6		
愠	⿰忄昷	U+6120	MDH-6120		
捝	⿰扌兑	U+635D	MDH-635D		
